Well,RFP Plasmid (nM),GFP Plasmid (nM),Replicate
A6,0.44,0.24,1
A11,0.44,0.24,2
G1,0.44,0.24,3
A7,0.44,0.49,1
A12,0.44,0.49,2
G2,0.44,0.49,3
A8,0.44,0.98,1
A13,0.44,0.98,2
G3,0.44,0.98,3
A9,0.44,2.01,1
A14,0.44,2.01,2
G4,0.44,2.01,3
B6,0.88,0.24,1
B11,0.88,0.24,2
H1,0.88,0.24,3
B7,0.88,0.49,1
B12,0.88,0.49,2
H2,0.88,0.49,3
B8,0.88,0.98,1
B13,0.88,0.98,2
H3,0.88,0.98,3
B9,0.88,2.01,1
B14,0.88,2.01,2
H4,0.88,2.01,3
C6,2.2,0.24,1
C11,2.2,0.24,2
I1,2.2,0.24,3
C7,2.2,0.49,1
C12,2.2,0.49,2
I2,2.2,0.49,3
C8,2.2,0.98,1
C13,2.2,0.98,2
I3,2.2,0.98,3
C9,2.2,2.01,1
C14,2.2,2.01,2
I4,2.2,2.01,3
D6,3.97,0.24,1
D11,3.97,0.24,2
J1,3.97,0.24,3
D7,3.97,0.49,1
D12,3.97,0.49,2
J2,3.97,0.49,3
D8,3.97,0.98,1
D13,3.97,0.98,2
J3,3.97,0.98,3
D9,3.97,2.01,1
D14,3.97,2.01,2
J4,3.97,2.01,3
E10,0,0,1
E15,0,0,2
K5,0,0,3
