Well,Construct,aTC,IPTG,Ara,Cin,Sal
A1,pQi41,500,500,500,0,0
A2,pQi41,500,500,200,0,0
A3,pQi41,500,500,25,0,0
A4,pQi41,500,500,0,0,0
A5,pQi41,500,200,500,0,0
A6,pQi41,500,200,200,0,0
A7,pQi41,500,200,25,0,0
A8,pQi41,500,200,0,0,0
A9,pQi41,500,25,500,0,0
A10,pQi41,500,25,200,0,0
A11,pQi41,500,25,25,0,0
A12,pQi41,500,25,0,0,0
A13,pQi41,500,0,500,0,0
A14,pQi41,500,0,200,0,0
A15,pQi41,500,0,25,0,0
A16,pQi41,500,0,0,0,0
A17,pQi41,250,500,500,0,0
A18,pQi41,250,500,200,0,0
A19,pQi41,250,500,25,0,0
A20,pQi41,250,500,0,0,0
A21,pQi41,250,200,500,0,0
A22,pQi41,250,200,200,0,0
A23,pQi41,250,200,25,0,0
A24,pQi41,250,200,0,0,0
B1,pQi41,250,25,500,0,0
B2,pQi41,250,25,200,0,0
B3,pQi41,250,25,25,0,0
B4,pQi41,250,25,0,0,0
B5,pQi41,250,0,500,0,0
B6,pQi41,250,0,200,0,0
B7,pQi41,250,0,25,0,0
B8,pQi41,250,0,0,0,0
B9,pQi41,125,500,500,0,0
B10,pQi41,125,500,200,0,0
B11,pQi41,125,500,25,0,0
B12,pQi41,125,500,0,0,0
B13,pQi41,125,200,500,0,0
B14,pQi41,125,200,200,0,0
B15,pQi41,125,200,25,0,0
B16,pQi41,125,200,0,0,0
B17,pQi41,125,25,500,0,0
B18,pQi41,125,25,200,0,0
B19,pQi41,125,25,25,0,0
B20,pQi41,125,25,0,0,0
B21,pQi41,125,0,500,0,0
B22,pQi41,125,0,200,0,0
B23,pQi41,125,0,25,0,0
B24,pQi41,125,0,0,0,0
C1,pQi41,25,500,500,0,0
C2,pQi41,25,500,200,0,0
C3,pQi41,25,500,25,0,0
C4,pQi41,25,500,0,0,0
C5,pQi41,25,200,500,0,0
C6,pQi41,25,200,200,0,0
C7,pQi41,25,200,25,0,0
C8,pQi41,25,200,0,0,0
C9,pQi41,25,25,500,0,0
C10,pQi41,25,25,200,0,0
C11,pQi41,25,25,25,0,0
C12,pQi41,25,25,0,0,0
C13,pQi41,25,0,500,0,0
C14,pQi41,25,0,200,0,0
C15,pQi41,25,0,25,0,0
C16,pQi41,25,0,0,0,0
C17,pQi41,0,500,500,0,0
C18,pQi41,0,500,200,0,0
C19,pQi41,0,500,25,0,0
C20,pQi41,0,500,0,0,0
C21,pQi41,0,200,500,0,0
C22,pQi41,0,200,200,0,0
C23,pQi41,0,200,25,0,0
C24,pQi41,0,200,0,0,0
D1,pQi41,0,25,500,0,0
D2,pQi41,0,25,200,0,0
D3,pQi41,0,25,25,0,0
D4,pQi41,0,25,0,0,0
D5,pQi41,0,0,500,0,0
D6,pQi41,0,0,200,0,0
D7,pQi41,0,0,25,0,0
D8,pQi41,0,0,0,0,0
E1,pQi51,500,500,500,0,0
E2,pQi51,500,500,200,0,0
E3,pQi51,500,500,25,0,0
E4,pQi51,500,500,0,0,0
E5,pQi51,500,200,500,0,0
E6,pQi51,500,200,200,0,0
E7,pQi51,500,200,25,0,0
E8,pQi51,500,200,0,0,0
E9,pQi51,500,25,500,0,0
E10,pQi51,500,25,200,0,0
E11,pQi51,500,25,25,0,0
E12,pQi51,500,25,0,0,0
E13,pQi51,500,0,500,0,0
E14,pQi51,500,0,200,0,0
E15,pQi51,500,0,25,0,0
E16,pQi51,500,0,0,0,0
E17,pQi51,250,500,500,0,0
E18,pQi51,250,500,200,0,0
E19,pQi51,250,500,25,0,0
E20,pQi51,250,500,0,0,0
E21,pQi51,250,200,500,0,0
E22,pQi51,250,200,200,0,0
E23,pQi51,250,200,25,0,0
E24,pQi51,250,200,0,0,0
F1,pQi51,250,25,500,0,0
F2,pQi51,250,25,200,0,0
F3,pQi51,250,25,25,0,0
F4,pQi51,250,25,0,0,0
F5,pQi51,250,0,500,0,0
F6,pQi51,250,0,200,0,0
F7,pQi51,250,0,25,0,0
F8,pQi51,250,0,0,0,0
F9,pQi51,125,500,500,0,0
F10,pQi51,125,500,200,0,0
F11,pQi51,125,500,25,0,0
F12,pQi51,125,500,0,0,0
F13,pQi51,125,200,500,0,0
F14,pQi51,125,200,200,0,0
F15,pQi51,125,200,25,0,0
F16,pQi51,125,200,0,0,0
F17,pQi51,125,25,500,0,0
F18,pQi51,125,25,200,0,0
F19,pQi51,125,25,25,0,0
F20,pQi51,125,25,0,0,0
F21,pQi51,125,0,500,0,0
F22,pQi51,125,0,200,0,0
F23,pQi51,125,0,25,0,0
F24,pQi51,125,0,0,0,0
G1,pQi51,25,500,500,0,0
G2,pQi51,25,500,200,0,0
G3,pQi51,25,500,25,0,0
G4,pQi51,25,500,0,0,0
G5,pQi51,25,200,500,0,0
G6,pQi51,25,200,200,0,0
G7,pQi51,25,200,25,0,0
G8,pQi51,25,200,0,0,0
G9,pQi51,25,25,500,0,0
G10,pQi51,25,25,200,0,0
G11,pQi51,25,25,25,0,0
G12,pQi51,25,25,0,0,0
G13,pQi51,25,0,500,0,0
G14,pQi51,25,0,200,0,0
G15,pQi51,25,0,25,0,0
G16,pQi51,25,0,0,0,0
G17,pQi51,0,500,500,0,0
G18,pQi51,0,500,200,0,0
G19,pQi51,0,500,25,0,0
G20,pQi51,0,500,0,0,0
G21,pQi51,0,200,500,0,0
G22,pQi51,0,200,200,0,0
G23,pQi51,0,200,25,0,0
G24,pQi51,0,200,0,0,0
H1,pQi51,0,25,500,0,0
H2,pQi51,0,25,200,0,0
H3,pQi51,0,25,25,0,0
H4,pQi51,0,25,0,0,0
H5,pQi51,0,0,500,0,0
H6,pQi51,0,0,200,0,0
H7,pQi51,0,0,25,0,0
H8,pQi51,0,0,0,0,0
I1,pQi42,500,500,500,0,0
I2,pQi42,500,500,200,0,0
I3,pQi42,500,500,25,0,0
I4,pQi42,500,500,0,0,0
I5,pQi42,500,200,500,0,0
I6,pQi42,500,200,200,0,0
I7,pQi42,500,200,25,0,0
I8,pQi42,500,200,0,0,0
I9,pQi42,500,25,500,0,0
I10,pQi42,500,25,200,0,0
I11,pQi42,500,25,25,0,0
I12,pQi42,500,25,0,0,0
I13,pQi42,500,0,500,0,0
I14,pQi42,500,0,200,0,0
I15,pQi42,500,0,25,0,0
I16,pQi42,500,0,0,0,0
I17,pQi42,250,500,500,0,0
I18,pQi42,250,500,200,0,0
I19,pQi42,250,500,25,0,0
I20,pQi42,250,500,0,0,0
I21,pQi42,250,200,500,0,0
I22,pQi42,250,200,200,0,0
I23,pQi42,250,200,25,0,0
I24,pQi42,250,200,0,0,0
J1,pQi42,250,25,500,0,0
J2,pQi42,250,25,200,0,0
J3,pQi42,250,25,25,0,0
J4,pQi42,250,25,0,0,0
J5,pQi42,250,0,500,0,0
J6,pQi42,250,0,200,0,0
J7,pQi42,250,0,25,0,0
J8,pQi42,250,0,0,0,0
J9,pQi42,125,500,500,0,0
J10,pQi42,125,500,200,0,0
J11,pQi42,125,500,25,0,0
J12,pQi42,125,500,0,0,0
J13,pQi42,125,200,500,0,0
J14,pQi42,125,200,200,0,0
J15,pQi42,125,200,25,0,0
J16,pQi42,125,200,0,0,0
J17,pQi42,125,25,500,0,0
J18,pQi42,125,25,200,0,0
J19,pQi42,125,25,25,0,0
J20,pQi42,125,25,0,0,0
J21,pQi42,125,0,500,0,0
J22,pQi42,125,0,200,0,0
J23,pQi42,125,0,25,0,0
J24,pQi42,125,0,0,0,0
K1,pQi42,25,500,500,0,0
K2,pQi42,25,500,200,0,0
K3,pQi42,25,500,25,0,0
K4,pQi42,25,500,0,0,0
K5,pQi42,25,200,500,0,0
K6,pQi42,25,200,200,0,0
K7,pQi42,25,200,25,0,0
K8,pQi42,25,200,0,0,0
K9,pQi42,25,25,500,0,0
K10,pQi42,25,25,200,0,0
K11,pQi42,25,25,25,0,0
K12,pQi42,25,25,0,0,0
K13,pQi42,25,0,500,0,0
K14,pQi42,25,0,200,0,0
K15,pQi42,25,0,25,0,0
K16,pQi42,25,0,0,0,0
K17,pQi42,0,500,500,0,0
K18,pQi42,0,500,200,0,0
K19,pQi42,0,500,25,0,0
K20,pQi42,0,500,0,0,0
K21,pQi42,0,200,500,0,0
K22,pQi42,0,200,200,0,0
K23,pQi42,0,200,25,0,0
K24,pQi42,0,200,0,0,0
L1,pQi42,0,25,500,0,0
L2,pQi42,0,25,200,0,0
L3,pQi42,0,25,25,0,0
L4,pQi42,0,25,0,0,0
L5,pQi42,0,0,500,0,0
L6,pQi42,0,0,200,0,0
L7,pQi42,0,0,25,0,0
L8,pQi42,0,0,0,0,0
M1,pQi52,500,500,500,0,0
M2,pQi52,500,500,200,0,0
M3,pQi52,500,500,25,0,0
M4,pQi52,500,500,0,0,0
M5,pQi52,500,200,500,0,0
M6,pQi52,500,200,200,0,0
M7,pQi52,500,200,25,0,0
M8,pQi52,500,200,0,0,0
M9,pQi52,500,25,500,0,0
M10,pQi52,500,25,200,0,0
M11,pQi52,500,25,25,0,0
M12,pQi52,500,25,0,0,0
M13,pQi52,500,0,500,0,0
M14,pQi52,500,0,200,0,0
M15,pQi52,500,0,25,0,0
M16,pQi52,500,0,0,0,0
M17,pQi52,250,500,500,0,0
M18,pQi52,250,500,200,0,0
M19,pQi52,250,500,25,0,0
M20,pQi52,250,500,0,0,0
M21,pQi52,250,200,500,0,0
M22,pQi52,250,200,200,0,0
M23,pQi52,250,200,25,0,0
M24,pQi52,250,200,0,0,0
N1,pQi52,250,25,500,0,0
N2,pQi52,250,25,200,0,0
N3,pQi52,250,25,25,0,0
N4,pQi52,250,25,0,0,0
N5,pQi52,250,0,500,0,0
N6,pQi52,250,0,200,0,0
N7,pQi52,250,0,25,0,0
N8,pQi52,250,0,0,0,0
N9,pQi52,125,500,500,0,0
N10,pQi52,125,500,200,0,0
N11,pQi52,125,500,25,0,0
N12,pQi52,125,500,0,0,0
N13,pQi52,125,200,500,0,0
N14,pQi52,125,200,200,0,0
N15,pQi52,125,200,25,0,0
N16,pQi52,125,200,0,0,0
N17,pQi52,125,25,500,0,0
N18,pQi52,125,25,200,0,0
N19,pQi52,125,25,25,0,0
N20,pQi52,125,25,0,0,0
N21,pQi52,125,0,500,0,0
N22,pQi52,125,0,200,0,0
N23,pQi52,125,0,25,0,0
N24,pQi52,125,0,0,0,0
O1,pQi52,25,500,500,0,0
O2,pQi52,25,500,200,0,0
O3,pQi52,25,500,25,0,0
O4,pQi52,25,500,0,0,0
O5,pQi52,25,200,500,0,0
O6,pQi52,25,200,200,0,0
O7,pQi52,25,200,25,0,0
O8,pQi52,25,200,0,0,0
O9,pQi52,25,25,500,0,0
O10,pQi52,25,25,200,0,0
O11,pQi52,25,25,25,0,0
O12,pQi52,25,25,0,0,0
O13,pQi52,25,0,500,0,0
O14,pQi52,25,0,200,0,0
O15,pQi52,25,0,25,0,0
O16,pQi52,25,0,0,0,0
O17,pQi52,0,500,500,0,0
O18,pQi52,0,500,200,0,0
O19,pQi52,0,500,25,0,0
O20,pQi52,0,500,0,0,0
O21,pQi52,0,200,500,0,0
O22,pQi52,0,200,200,0,0
O23,pQi52,0,200,25,0,0
O24,pQi52,0,200,0,0,0
P1,pQi52,0,25,500,0,0
P2,pQi52,0,25,200,0,0
P3,pQi52,0,25,25,0,0
P4,pQi52,0,25,0,0,0
P5,pQi52,0,0,500,0,0
P6,pQi52,0,0,200,0,0
P7,pQi52,0,0,25,0,0
P8,pQi52,0,0,0,0,0
D8,REC24LB,500,500,500,500,500
D9,REC24LB,500,500,500,0,500
D10,REC24LB,500,500,0,500,500
D11,REC24LB,500,500,0,0,500
D12,REC24LB,500,0,500,500,500
D13,REC24LB,500,0,500,0,500
D14,REC24LB,500,0,0,500,500
D15,REC24LB,500,0,0,0,500
D16,REC24LB,200,500,500,500,500
D17,REC24LB,200,500,500,0,500
D18,REC24LB,200,500,0,500,500
D19,REC24LB,200,500,0,0,500
D20,REC24LB,200,0,500,500,500
D21,REC24LB,200,0,500,0,500
D22,REC24LB,200,0,0,500,500
D23,REC24LB,200,0,0,0,500
D24,REC24LB,0,500,500,500,500
H8,REC24LB,0,500,500,0,500
H9,REC24LB,0,500,0,500,500
H10,REC24LB,0,500,0,0,500
H11,REC24LB,0,0,500,500,500
H12,REC24LB,0,0,500,0,500
H13,REC24LB,0,0,0,500,500
H14,REC24LB,0,0,0,0,500
L8,REC24LB,500,500,500,500,500
L9,REC24LB,500,500,500,0,500
L10,REC24LB,500,500,0,500,500
L11,REC24LB,500,500,0,0,500
L12,REC24LB,500,0,500,500,500
L13,REC24LB,500,0,500,0,500
L14,REC24LB,500,0,0,500,500
L15,REC24LB,500,0,0,0,500
L16,REC24LB,200,500,500,500,500
L17,REC24LB,200,500,500,0,500
L18,REC24LB,200,500,0,500,500
L19,REC24LB,200,500,0,0,500
L20,REC24LB,200,0,500,500,500
L21,REC24LB,200,0,500,0,500
L22,REC24LB,200,0,0,500,500
L23,REC24LB,200,0,0,0,500
L24,REC24LB,0,500,500,500,500
P8,REC24LB,0,500,500,0,500
P9,REC24LB,0,500,0,500,500
P10,REC24LB,0,500,0,0,500
P11,REC24LB,0,0,500,500,500
P12,REC24LB,0,0,500,0,500
P13,REC24LB,0,0,0,500,500
P14,REC24LB,0,0,0,0,500
